# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Nov  3 17:07:58 2022
#
# User preference: *
#
# CONSTRAINT:  where (sy_snum not null
# CONSTRAINT:  and sy_pnum not null
# CONSTRAINT:  and pl_orbper not null
# CONSTRAINT:  and pl_eqt not null
# CONSTRAINT:  and sy_dist not null)
# CONSTRAINT:  order by hostname asc
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_eqterr1:     Equilibrium Temperature Upper Unc. [K]
# COLUMN pl_eqterr2:     Equilibrium Temperature Lower Unc. [K]
# COLUMN pl_eqtlim:      Equilibrium Temperature Limit Flag
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,sy_dist,sy_disterr1,sy_disterr2
CoRoT-4 b,CoRoT-4,1,1,9.20205000,0.00037000,-0.00037000,0,13.340,0.670,-0.560,0,1074,19,-19,0,726.4120000,15.1810000,-14.5820000
CoRoT-5 b,CoRoT-5,1,1,4.03789620,0.00000190,-0.00000190,0,15.558,0.516,-0.527,0,1438,39,-39,0,882.4720000,25.6200000,-25.6200000
CoRoT-6 b,CoRoT-6,1,1,8.88659300,0.00000400,-0.00000400,0,13.068,0.392,-0.392,0,1017,19,-19,0,645.2940000,12.4530000,-11.9970000
CoRoT-7 b,CoRoT-7,1,3,0.85359163,0.00000001,-0.00000001,0,1.681,0.112,-0.112,0,1756,27,-27,0,159.9060000,0.9170000,-0.9060000
CoRoT-8 b,CoRoT-8,1,1,6.21229000,0.00003000,-0.00003000,0,6.390,0.220,-0.220,0,870,14,-14,0,322.0370000,2.7140000,-2.7140000
CoRoT-9 b,CoRoT-9,2,1,95.27265600,0.00006800,-0.00006800,0,11.949,0.841,-0.706,0,420,16,-16,0,412.9800000,4.7250000,-4.6220000
CoRoTID 223977153 b,CoRoTID 223977153,1,1,6.71837000,0.00001000,-0.00001000,0,6.389,0.673,-0.560,0,938,65,-52,0,576.6830000,10.4360000,-10.4360000
DMPP-1 b,DMPP-1,1,4,18.57000000,0.01000000,-0.01000000,0,5.290,,,0,877,,,0,62.5388000,0.1782000,-0.1773000
DMPP-1 c,DMPP-1,1,4,6.58400000,0.00300000,-0.00200000,0,3.060,,,0,1239,,,0,62.5388000,0.1782000,-0.1773000
DMPP-1 d,DMPP-1,1,4,2.88200000,0.00100000,-0.00100000,0,1.650,,,0,1632,,,0,62.5388000,0.1782000,-0.1773000
DMPP-1 e,DMPP-1,1,4,5.51600000,0.00200000,-0.00400000,0,1.860,,,0,1314,,,0,62.5388000,0.1782000,-0.1773000
DMPP-2 b,DMPP-2,1,1,5.20720000,0.00020000,-0.00550000,0,14.300,,,0,1000,,,0,137.9400000,0.6810000,-0.6750000
DMPP-3 A b,DMPP-3 A,2,1,6.67320000,0.00110000,-0.00030000,0,1.410,,,0,854,,,0,45.2300000,1.6000000,-1.7200000
DS Tuc A b,DS Tuc A,2,1,8.13826800,0.00001100,-0.00001100,0,5.700,0.170,-0.170,0,850,,,0,44.0622000,0.0693000,-0.0691000
EPIC 201595106 b,EPIC 201595106,1,1,0.87721400,0.00006000,-0.00006000,0,1.300,0.100,-0.100,0,1874,16,-16,0,232.1000000,2.7060000,-2.6460000
EPIC 211822797 b,EPIC 211822797,1,1,21.17019630,0.00006620,-0.00006420,0,1.920,0.120,-0.070,0,431,4,-17,0,186.1970000,1.3645000,-1.3645000
EPIC 211945201 b,EPIC 211945201,1,1,19.49221000,0.00066600,-0.00065300,0,5.760,0.300,-0.300,0,817,15,-14,0,181.6900000,1.2950000,-1.2770000
EPIC 212297394 b,EPIC 212297394,1,2,2.28936300,0.00023200,-0.00025100,0,1.480,0.130,-0.110,0,1149,43,-44,0,418.3950000,7.3530000,-7.1070000
EPIC 212297394 c,EPIC 212297394,1,2,5.21396500,0.00044200,-0.00044200,0,2.270,0.190,-0.140,0,866,27,-37,0,418.3950000,7.3530000,-7.1070000
EPIC 212587672 b,EPIC 212587672,1,2,15.28078000,0.00012100,-0.00011600,0,1.260,0.110,-0.090,0,756,14,-15,0,320.0700000,6.3920000,-6.1520000
EPIC 212587672 c,EPIC 212587672,1,2,23.22855500,0.00006800,-0.00007100,0,2.320,0.190,-0.120,0,658,13,-14,0,320.0700000,6.3920000,-6.1520000
EPIC 212737443 b,EPIC 212737443,1,2,13.60300000,0.00130000,-0.00130000,0,2.586,0.126,-0.126,0,536,18,-18,0,336.2500000,4.7430000,-4.6150000
EPIC 212737443 c,EPIC 212737443,1,2,65.55000000,0.00890000,-0.00890000,0,2.690,0.146,-0.146,0,316,10,-10,0,336.2500000,4.7430000,-4.6150000
EPIC 220674823 b,EPIC 220674823,1,2,0.57121200,0.00003800,-0.00003800,0,1.600,0.100,-0.100,0,2119,41,-41,0,244.5900000,3.0440000,-2.9720000
EPIC 220674823 c,EPIC 220674823,1,2,13.33461500,0.00010000,-0.00010000,0,2.200,0.200,-0.200,0,741,14,-14,0,244.5900000,3.0440000,-2.9720000
EPIC 228836835 b,EPIC 228836835,1,1,0.72811300,0.00006300,-0.00006300,0,1.100,0.300,-0.200,0,932,17,-17,0,150.1240000,1.7990000,-1.7580000
EPIC 246851721 b,EPIC 246851721,2,1,6.18023500,0.00001400,-0.00001400,0,11.781,0.493,-0.493,0,1401,16,-16,0,372.6320000,19.4560000,-17.6440000
EPIC 248847494 b,EPIC 248847494,1,1,3650.00000000,1280.00000000,-1130.00000000,0,12.442,0.785,-0.785,0,183,25,-18,0,551.8860000,12.7520000,-12.7520000
EPIC 249893012 b,EPIC 249893012,1,3,3.59510000,0.00030000,-0.00030000,0,1.950,0.090,-0.080,0,1616,149,-79,0,321.2960000,4.1890000,-4.0850000
EPIC 249893012 c,EPIC 249893012,1,3,15.62400000,0.00100000,-0.00100000,0,3.670,0.170,-0.140,0,990,92,-49,0,321.2960000,4.1890000,-4.0850000
EPIC 249893012 d,EPIC 249893012,1,3,35.74700000,0.00500000,-0.00500000,0,3.940,0.130,-0.120,0,752,69,-37,0,321.2960000,4.1890000,-4.0850000
G 264-012 b,G 264-012,1,2,2.30538000,0.00031000,-0.00031000,0,1.390,,,0,587,16,-16,0,16.0090000,0.0104000,-0.0103000
G 264-012 c,G 264-012,1,2,8.05180000,0.00340000,-0.00340000,0,1.760,,,0,387,11,-11,0,16.0090000,0.0104000,-0.0103000
G 9-40 b,G 9-40,1,1,5.74600700,0.00000600,-0.00000600,0,2.025,0.096,-0.097,0,456,35,-40,0,27.9276000,0.0451000,-0.0450000
GJ 1132 b,GJ 1132,1,2,1.62893100,0.00002700,-0.00002700,0,1.130,0.056,-0.056,0,529,9,-9,0,12.6130000,0.0070000,-0.0070000
GJ 1132 c,GJ 1132,1,2,8.92900000,0.01000000,-0.01000000,0,1.430,,,0,300,5,-5,0,12.6130000,0.0070000,-0.0070000
GJ 1214 b,GJ 1214,1,1,1.58040433,0.00000013,-0.00000013,0,2.742,0.050,-0.053,0,596,19,-19,0,14.6427000,0.0372000,-0.0372000
GJ 1252 b,GJ 1252,1,1,0.51824160,0.00000069,-0.00000069,0,1.180,0.078,-0.078,0,1089,69,-69,0,20.3730000,0.0192000,-0.0192000
GJ 143 b,GJ 143,1,2,35.61253000,0.00060000,-0.00062000,0,2.610,0.170,-0.160,0,422,15,-14,0,16.3200000,0.0071000,-0.0071000
HD 21749 c,GJ 143,1,2,7.78993000,0.00051000,-0.00044000,0,0.892,0.064,-0.058,0,701,25,-23,0,16.3200000,0.0071000,-0.0071000
GJ 15 A b,GJ 15 A,2,2,11.44070000,0.00170000,-0.00160000,0,1.550,,,0,550,,,0,3.5622800,0.0005500,-0.0005500
GJ 251 b,GJ 251,1,1,14.23800000,0.00200000,-0.00200000,0,1.830,,,0,351,1,-1,0,5.5805700,0.0019800,-0.0019800
GJ 3021 b,GJ 3021,2,1,133.71000000,0.20000000,-0.20000000,0,13.100,,,0,350,90,-90,0,17.5559000,0.0073000,-0.0073000
GJ 3090 b,GJ 3090,1,1,2.85313600,0.00006400,-0.00003800,0,2.130,0.110,-0.110,0,693,18,-18,0,22.4751000,0.0260500,-0.0260500
GJ 338 B b,GJ 338 B,2,1,24.45000000,0.02000000,-0.02000000,0,3.190,,,0,391,20,-20,0,6.3325600,0.0016700,-0.0016800
GJ 3470 b,GJ 3470,1,1,3.33664960,0.00000390,-0.00000330,0,4.570,0.180,-0.180,0,594,96,-96,0,29.4214000,0.0508000,-0.0507000
GJ 3473 b,GJ 3473,2,2,1.19800350,0.00000180,-0.00000190,0,1.264,0.050,-0.049,0,773,16,-15,0,27.3644000,0.0376000,-0.0376000
GJ 3473 c,GJ 3473,2,2,15.50900000,0.03300000,-0.03300000,0,2.630,,,0,329,7,-6,0,27.3644000,0.0376000,-0.0376000
GJ 357 b,GJ 357,1,3,3.93072000,0.00008000,-0.00006000,0,1.217,0.084,-0.083,0,525,11,-9,0,9.4418100,0.0051100,-0.0051100
GJ 357 c,GJ 357,1,3,9.12470000,0.00110000,-0.00100000,0,1.660,,,0,401,11,-11,0,9.4418100,0.0051100,-0.0051100
GJ 357 d,GJ 357,1,3,55.66100000,0.05500000,-0.05500000,0,2.340,,,0,220,6,-6,0,9.4418100,0.0051100,-0.0051100
GJ 367 b,GJ 367,1,1,0.32196200,0.00001000,-0.00001200,0,0.718,0.054,-0.054,0,1745,43,-43,0,9.4126300,0.0028350,-0.0028350
GJ 3929 b,GJ 3929,1,2,2.61623500,0.00000500,-0.00000500,0,1.090,0.040,-0.040,0,568,6,-6,0,15.8095000,0.0096000,-0.0095000
GJ 3929 c,GJ 3929,1,2,15.04000000,0.03000000,-0.03000000,0,2.260,,,0,317,3,-3,0,15.8095000,0.0096000,-0.0095000
GJ 393 b,GJ 393,1,1,7.02679000,0.00082000,-0.00085000,0,1.170,,,0,485,11,-11,0,7.0314900,0.0024850,-0.0024850
GJ 3942 b,GJ 3942,1,1,6.90500000,0.04000000,-0.04000000,0,2.570,,,0,590,,,0,16.9287000,0.0063500,-0.0063500
GJ 411 b,GJ 411,1,2,12.93940000,0.00140000,-0.00130000,0,1.450,,,0,350,0,0,0,5.6757730,0.0059099,-0.0059099
GJ 414 A b,GJ 414 A,2,2,50.80000000,0.10000000,-0.26000000,0,2.630,1.220,-0.850,0,309,34,-34,0,11.8893000,0.0067000,-0.0067000
GJ 414 A c,GJ 414 A,2,2,749.83000000,4.35000000,-3.63000000,0,8.400,3.600,-2.500,0,125,14,-14,0,11.8893000,0.0067000,-0.0067000
GJ 436 b,GJ 436,1,1,2.64388312,0.00000057,-0.00000057,0,4.170,0.168,-0.168,0,686,10,-10,0,9.7532100,0.0089800,-0.0089600
GJ 486 b,GJ 486,1,1,1.46711900,0.00003100,-0.00003000,0,1.305,0.063,-0.067,0,701,13,-13,0,8.0742600,0.0040950,-0.0040950
GJ 514 b,GJ 514,1,1,140.43000000,0.41000000,-0.41000000,0,2.130,,,0,202,11,-11,0,7.6177800,0.0031750,-0.0031750
GJ 720 A b,GJ 720 A,2,1,19.46600000,0.00500000,-0.00500000,0,3.770,,,0,401,32,-32,0,15.5575000,0.0061000,-0.0061000
GJ 740 b,GJ 740,1,1,2.37756000,0.00013000,-0.00011000,0,1.530,,,0,829,40,-50,0,11.1017000,0.0060500,-0.0060500
GJ 887 b,GJ 887,1,2,9.26200000,0.00100000,-0.00100000,0,1.880,,,0,468,,,0,3.2900000,0.0100000,-0.0100000
GJ 887 c,GJ 887,1,2,21.78900000,0.00400000,-0.00500000,0,2.670,,,0,352,,,0,3.2900000,0.0100000,-0.0100000
GJ 9689 b,GJ 9689,1,1,18.27000000,0.01000000,-0.01000000,0,3.070,,,0,453,39,-39,0,30.6203000,0.0418500,-0.0418500
GJ 9827 b,GJ 9827,1,3,1.20898190,0.00000693,-0.00000714,0,1.577,0.027,-0.031,0,1044,36,-31,0,29.6610000,0.0543000,-0.0541000
GJ 9827 c,GJ 9827,1,3,3.64809570,0.00006330,-0.00006210,0,1.241,0.024,-0.026,0,722,25,-22,0,29.6610000,0.0543000,-0.0541000
GJ 9827 d,GJ 9827,1,3,6.20146980,0.00006260,-0.00006110,0,2.022,0.046,-0.043,0,605,21,-18,0,29.6610000,0.0543000,-0.0541000
GPX-1 b,GPX-1,1,1,1.74457900,0.00000800,-0.00000800,0,16.477,1.121,-1.121,0,2300,48,-48,0,655.0130000,17.1020000,-16.2690000
Gl 378 b,Gl 378,1,1,3.82200000,0.00100000,-0.00100000,0,3.660,,,0,830,,,0,14.9545000,0.0072500,-0.0072500
Gl 686 b,Gl 686,1,1,15.53000000,0.00110000,-0.00110000,0,2.460,,,0,379,24,-25,0,8.1572800,0.0023200,-0.0023200
HAT-P-1 b,HAT-P-1,2,1,4.46529976,0.00000055,-0.00000055,0,14.785,0.213,-0.213,0,1322,14,-15,0,158.9790000,0.9770000,-0.9650000
HAT-P-11 b,HAT-P-11,1,2,4.88780244,,,0,4.360,0.060,-0.060,0,838,10,-10,0,37.7647000,0.0337000,-0.0336000
HAT-P-12 b,HAT-P-12,1,1,3.21305980,0.00000210,-0.00000210,0,10.749,0.325,-0.235,0,963,16,-16,0,142.7510000,0.4530000,-0.4500000
HAT-P-13 b,HAT-P-13,1,2,2.91625000,0.00001500,-0.00001500,0,14.258,0.729,-0.729,0,1740,27,-27,0,246.8100000,2.2280000,-2.1880000
HAT-P-13 c,HAT-P-13,1,2,446.27000000,0.22000000,-0.22000000,0,12.300,,,0,340,9,-9,0,246.8100000,2.2280000,-2.1880000
HAT-P-14 b,HAT-P-14,2,1,4.62767000,0.00000500,-0.00000500,0,15.917,1.345,-1.345,0,1624,32,-32,0,222.6630000,1.2570000,-1.2440000
HAT-P-15 b,HAT-P-15,1,1,10.86350000,0.00002700,-0.00002700,0,11.882,0.785,-0.785,0,904,20,-20,0,192.5160000,2.0530000,-2.0100000
HAT-P-16 b,HAT-P-16,3,1,2.77596000,0.00000300,-0.00000300,0,14.448,0.740,-0.740,0,1626,40,-40,0,226.6370000,4.4710000,-4.3050000
HAT-P-17 b,HAT-P-17,1,2,10.33852000,0.00000900,-0.00000900,0,11.769,0.448,-0.448,0,792,15,-15,0,92.3831000,0.4851000,-0.4802000
HAT-P-18 b,HAT-P-18,1,1,5.50802300,0.00000600,-0.00000600,0,11.153,0.583,-0.583,0,852,28,-28,0,161.4000000,0.6100000,-0.6050000
HAT-P-19 b,HAT-P-19,1,1,4.00877800,0.00000600,-0.00000600,0,12.689,0.807,-0.807,0,1010,42,-42,0,202.0780000,1.4710000,-1.4510000
HAT-P-2 b,HAT-P-2,1,1,5.63351580,0.00000360,-0.00000360,0,10.660,0.437,-0.594,0,1540,30,-30,0,127.7740000,0.4250000,-0.4230000
HAT-P-20 b,HAT-P-20,1,1,2.87531700,0.00000400,-0.00000400,0,9.718,0.370,-0.370,0,970,23,-23,0,71.0374000,0.1994000,-0.1983000
HAT-P-21 b,HAT-P-21,1,1,4.12448000,0.00000700,-0.00000700,0,12.442,1.793,-1.793,0,1283,50,-50,0,277.2780000,3.2150000,-3.1440000
HAT-P-22 b,HAT-P-22,2,1,3.21222000,0.00000900,-0.00000900,0,12.890,2.130,-2.130,0,1463,19,-19,0,81.7647000,0.2505000,-0.2489000
HAT-P-23 b,HAT-P-23,1,1,1.21288000,0.00000200,-0.00000200,0,12.218,2.578,-2.578,0,1951,30,-30,0,364.8130000,4.7720000,-4.6530000
HAT-P-24 b,HAT-P-24,2,1,3.35524000,0.00000700,-0.00000700,0,14.572,2.354,-2.354,0,1637,42,-42,0,415.3440000,6.6360000,-6.4350000
HAT-P-25 b,HAT-P-25,1,1,3.65281514,0.00000076,-0.00000075,0,12.722,0.538,-0.538,0,1182,25,-25,0,300.3840000,4.3000000,-4.1820000
HAT-P-26 b,HAT-P-26,1,1,4.23452000,0.00001500,-0.00001500,0,7.062,0.448,-0.448,0,1001,66,-37,0,141.8370000,1.1520000,-1.1330000
HAT-P-27 b,HAT-P-27,2,1,3.03957700,0.00000500,-0.00000600,0,11.430,0.780,-0.670,0,1092,,,0,199.1730000,1.4510000,-1.4300000
HAT-P-28 b,HAT-P-28,1,1,3.25721500,0.00000700,-0.00000700,0,13.585,1.267,-0.919,0,1384,52,-52,0,401.3190000,5.5420000,-5.3950000
HAT-P-29 b,HAT-P-29,2,1,5.72319000,0.00004900,-0.00004900,0,13.115,1.457,-1.457,0,1271,39,-37,0,313.5760000,4.4300000,-4.3100000
HAT-P-3 b,HAT-P-3,2,1,2.89970000,0.00005400,-0.00005400,0,10.536,0.785,-0.785,0,1189,16,-16,0,134.5540000,0.4800000,-0.4770000
HAT-P-30 b,HAT-P-30,2,1,2.81060000,0.00000500,-0.00000500,0,16.141,1.681,-1.681,0,1630,42,-42,0,213.9850000,2.2170000,-2.1730000
HAT-P-31 b,HAT-P-31,1,1,5.00542000,0.00009100,-0.00009100,0,12.218,1.681,-1.681,0,1450,230,-110,0,344.0500000,2.9130000,-2.8650000
HAT-P-32 b,HAT-P-32,2,1,2.15000820,0.00000013,-0.00000013,0,22.194,0.504,-0.504,0,1836,7,-7,0,289.2050000,5.3550000,-5.1670000
HAT-P-33 b,HAT-P-33,2,1,3.47447000,0.00000100,-0.00000100,0,20.737,5.492,-5.492,0,1782,28,-28,0,396.1100000,7.6470000,-7.3680000
HAT-P-34 b,HAT-P-34,1,1,5.45265400,0.00001600,-0.00001600,0,13.417,1.457,-1.031,0,1520,60,-60,0,249.3250000,2.8040000,-2.7440000
HAT-P-35 b,HAT-P-35,3,1,3.64670600,0.00002100,-0.00002100,0,14.930,1.098,-1.098,0,1581,45,-45,0,506.9650000,13.1930000,-12.5510000
HAT-P-36 b,HAT-P-36,1,1,1.32734683,0.00000048,-0.00000048,0,14.314,0.224,-0.224,0,1781,19,-19,0,294.4190000,2.2690000,-2.2350000
HAT-P-37 b,HAT-P-37,1,1,2.79743600,0.00000700,-0.00000700,0,13.204,0.863,-0.863,0,1271,47,-47,0,390.5940000,2.7230000,-2.6860000
HAT-P-38 b,HAT-P-38,1,1,4.64038200,0.00003200,-0.00003200,0,9.247,1.031,-0.706,0,1082,55,-55,0,255.2060000,2.4730000,-2.4270000
HAT-P-39 b,HAT-P-39,2,1,3.54387000,0.00000500,-0.00000500,0,17.609,1.211,-0.908,0,1752,43,-43,0,697.0040000,17.9380000,-17.0750000
HAT-P-4 b,HAT-P-4,2,1,3.05653600,,,0,14.280,0.549,-0.673,0,1686,30,-26,0,320.4510000,2.8520000,-2.8020000
HAT-P-40 b,HAT-P-40,1,1,4.45724000,0.00001000,-0.00001000,0,17.038,1.906,-1.906,0,1770,33,-33,0,464.4690000,6.5370000,-6.3610000
HAT-P-41 b,HAT-P-41,2,1,2.69405000,0.00000400,-0.00000400,0,22.978,5.605,-5.605,0,1941,38,-38,0,348.1850000,4.5290000,-4.4170000
HAT-P-42 b,HAT-P-42,1,1,4.64187800,0.00003200,-0.00003200,0,14.348,1.715,-1.715,0,1428,60,-60,0,405.2380000,7.7790000,-7.4960000
HAT-P-43 b,HAT-P-43,1,1,3.33264140,0.00001510,-0.00001530,0,13.630,0.640,-0.630,0,1353,16,-16,0,528.8250000,7.5870000,-7.3790000
HAT-P-44 b,HAT-P-44,1,2,4.30121900,0.00001900,-0.00001900,0,13.922,1.188,-0.572,0,1108,51,-32,0,347.8500000,2.2260000,-2.1990000
HAT-P-45 b,HAT-P-45,1,1,3.12899200,0.00002100,-0.00002100,0,15.984,1.962,-0.975,0,1652,90,-52,0,298.6400000,6.0310000,-5.8010000
HAT-P-46 b,HAT-P-46,1,1,4.46312900,0.00004800,-0.00004800,0,14.392,3.038,-1.491,0,1458,140,-75,0,290.7360000,5.1100000,-4.9400000
HAT-P-49 b,HAT-P-49,1,1,2.69155000,0.00000600,-0.00000600,0,17.822,2.018,-2.018,0,2131,69,-42,0,350.3510000,3.5520000,-3.4820000
HAT-P-5 b,HAT-P-5,1,1,2.78849000,0.00002500,-0.00002500,0,13.563,1.121,-1.121,0,1539,33,-32,0,303.3360000,1.8120000,-1.7910000
